gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,at,che,dlc,ebit,lct,revt,costat,mkvalt,gsector
001209,20070930,2007,INDL,C,D,STD,APD,USD,12659.5000,42.3000,700.7000,1338.8000,2422.7000,10037.8000,A,21053.2026,15
001209,20080930,2008,INDL,C,D,STD,APD,USD,12571.3000,103.5000,451.4000,1490.5000,2212.0000,10414.5000,A,14337.3542,15
001209,20090930,2009,INDL,C,D,STD,APD,USD,13029.1000,488.2000,785.9000,1154.2000,2503.6000,8256.2000,A,16389.5508,15
001209,20100930,2010,INDL,C,D,STD,APD,USD,13505.9000,374.3000,468.5000,1443.0000,2244.1000,9026.0000,A,17707.1645,15
001209,20110930,2011,INDL,C,D,STD,APD,USD,14290.7000,422.5000,634.7000,1628.0000,2342.0000,10082.0000,A,16051.8285,15
001209,20120930,2012,INDL,C,D,STD,APD,USD,16941.8000,454.4000,707.7000,1489.6000,2689.9000,9611.7000,A,17571.7652,15
001209,20130930,2013,INDL,C,D,STD,APD,USD,17850.1000,450.4000,1217.3000,1508.3000,3227.6000,10180.4000,A,22505.3460,15
001209,20140930,2014,INDL,C,D,STD,APD,USD,17779.1000,336.6000,1294.0000,1603.7000,2963.0000,10439.0000,A,27798.5070,15
001209,20150930,2015,INDL,C,D,STD,APD,USD,17438.1000,206.4000,1929.9000,1870.3000,3648.1000,9894.9000,A,27475.5012,15
001209,20160930,2016,INDL,C,D,STD,APD,USD,18055.3000,1501.3000,1307.1000,2140.4000,3283.3000,9524.4000,A,32676.5493,15
001209,20170930,2017,INDL,C,D,STD,APD,USD,18467.2000,3677.6000,560.4000,1660.8000,2489.0000,8187.6000,A,33018.2821,15
001209,20180930,2018,INDL,C,D,STD,APD,USD,19178.3000,2976.0000,460.9000,1891.3000,2338.3000,8930.2000,A,36670.1478,15
001209,20190930,2019,INDL,C,D,STD,APD,USD,18942.8000,2414.7000,98.6000,2120.5000,1820.9000,8918.9000,A,48901.2719,15
001230,20051231,2005,INDL,C,D,STD,ALK,USD,3792.0000,1094.6000,113.5000,8.3000,1165.6000,2975.3000,A,1194.9769,20
001230,20061231,2006,INDL,C,D,STD,ALK,USD,4077.1000,1125.2000,119.1000,127.0000,1236.7000,3334.4000,A,1591.6130,20
001230,20081231,2008,INDL,C,D,STD,ALK,USD,4835.6000,1077.4000,244.9000,-130.4000,1360.6000,3620.3000,A,1061.0145,20
001230,20091231,2009,INDL,C,D,STD,ALK,USD,4985.0000,1192.1000,156.0000,312.0000,1258.3000,3399.8000,A,1230.0250,20
001230,20101231,2010,INDL,C,D,STD,ALK,USD,5016.6000,1208.2000,221.2000,484.8000,1424.7000,3832.3000,A,2036.5316,20
001230,20111231,2011,INDL,C,D,STD,ALK,USD,5195.0000,1140.9000,207.9000,487.8000,1509.6000,4317.8000,A,2663.8178,20
001230,20121231,2012,INDL,C,D,STD,ALK,USD,5505.0000,1252.0000,161.0000,532.0000,1501.0000,4657.0000,A,3032.5449,20
001230,20131231,2013,INDL,C,D,STD,ALK,USD,5838.0000,1330.0000,117.0000,646.0000,1580.0000,4964.0000,A,5043.8940,20
001230,20141231,2014,INDL,C,D,STD,ALK,USD,6181.0000,1217.0000,117.0000,932.0000,1671.0000,5368.0000,A,7857.3046,20
001230,20151231,2015,INDL,C,D,STD,ALK,USD,6533.0000,1328.0000,115.0000,1330.0000,1806.0000,5598.0000,A,10077.8393,20
001230,20161231,2016,INDL,C,D,STD,ALK,USD,9962.0000,1580.0000,319.0000,1466.0000,2535.0000,5931.0000,A,10942.8934,20
001230,20171231,2017,INDL,C,D,STD,ALK,USD,10740.0000,1621.0000,307.0000,1378.0000,2700.0000,7933.0000,A,9046.2141,20
001230,20181231,2018,INDL,C,D,STD,ALK,USD,10912.0000,1236.0000,486.0000,775.0000,2942.0000,8264.0000,A,7496.3549,20
001230,20191231,2019,INDL,C,D,STD,ALK,USD,12993.0000,1521.0000,504.0000,1107.0000,3201.0000,8781.0000,A,8333.2500,20
001234,20171231,2017,INDL,C,D,STD,ATRI,USD,203.7800,65.6040,0.0000,41.2740,9.6220,146.5950,A,1157.7816,35
001234,20181231,2018,INDL,C,D,STD,ATRI,USD,231.2160,68.4370,0.0000,41.7070,10.2200,152.4480,A,1373.2212,35
001234,20191231,2019,INDL,C,D,STD,ATRI,USD,262.0310,68.8140,0.2990,40.5290,11.2740,155.0660,A,1394.0325,35
001239,20030930,2003,INDL,C,D,STD,ACV.1,USD,1945.6090,370.1480,0.2950,273.7910,465.5090,2891.4170,I,3430.7324,30
001239,20040930,2004,INDL,C,D,STD,ACV.1,USD,2058.7800,201.8890,0.5450,236.5120,532.4340,3257.9960,I,3946.4187,30
